url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,35,Adore You,Harry Styles,Adore YouHarry Styles,1,,35,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,53,Playing Games,Summer Walker,Playing GamesSummer Walker,2,52,16,15
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,59,Christmas Tree Farm,Taylor Swift,Christmas Tree FarmTaylor Swift,1,,59,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,49,Robbery,Juice WRLD,RobberyJuice WRLD,2,,49,19
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,44,Only Human,Jonas Brothers,Only HumanJonas Brothers,2,34,18,26
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,81,Slow Dancing In The Dark,Joji,Slow Dancing In The DarkJoji,3,87,69,10
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,10,A Holly Jolly Christmas,Burl Ives,A Holly Jolly ChristmasBurl Ives,4,18,10,12
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,3,Rockin' Around The Christmas Tree,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,9,8,3,30
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,1,All I Want For Christmas Is You,Mariah Carey,All I Want For Christmas Is YouMariah Carey,9,3,1,34
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,54,The Bones,Maren Morris,The BonesMaren Morris,3,57,48,12
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,47,The Box,Roddy Ricch,The BoxRoddy Ricch,1,,47,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,72,Peta,Roddy Ricch Featuring Meek Mill,PetaRoddy Ricch Featuring Meek Mill,1,,72,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,84,Baby Sitter,DaBaby Featuring Offset,Baby SitterDaBaby Featuring Offset,1,78,59,18
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,79,Prayed For You,Matt Stell,Prayed For YouMatt Stell,1,75,36,19
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,18,Ballin',Mustard Featuring Roddy Ricch,Ballin'Mustard Featuring Roddy Ricch,1,16,16,21
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,82,My Oh My,Camila Cabello Featuring DaBaby,My Oh MyCamila Cabello Featuring DaBaby,1,,82,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,32,The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,8,33,32,18
